State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Kerala,Kozhikode(Calicut),Kallachi,Banana,Palayamthodan,Medium,2025-09-23,3000,3400,3200
Kerala,Kozhikode(Calicut),Kallachi,Banana,Rasakathai,Medium,2025-09-23,4300,4700,4500
Kerala,Palakad,Koduvayoor,Coconut,Big,FAQ,2025-09-23,7400,7800,7600
Kerala,Wayanad,Pulpally,Coffee,Other,FAQ,2025-09-23,23500,23700,23600
Madhya Pradesh,Khargone,Sanawad,Cotton,Without Ginned Cotton,FAQ,2025-09-23,5585,5585,5585
Maharashtra,Pune,Pune(Moshi),Orange,Other,Local,2025-09-23,7000,7000,7000
Maharashtra,Sangli,"Sangli(Phale, Bhajipura Market)",Orange,Other,Local,2025-09-23,4000,9000,6500
Nagaland,Wokha,Baghty,Papaya,Papaya,Medium,2025-09-23,4000,6400,4800
Punjab,Hoshiarpur,Mukerian,Apple,Apple,Medium,2025-09-23,8500,10500,9500
Punjab,Hoshiarpur,Mukerian,Pomegranate,Pomogranate,Medium,2025-09-23,10000,12000,11000
Punjab,Ludhiana,Ludhiana,Apple,Other,Medium,2025-09-23,2500,8000,3000
Punjab,Ludhiana,Ludhiana,Pomegranate,Other,Medium,2025-09-23,3000,7000,5000
Uttar Pradesh,Badaun,Visoli,Maize,Yellow,FAQ,2025-09-23,2000,2000,2000
Uttar Pradesh,Maharajganj,Anandnagar,Papaya,Papaya,Medium,2025-09-23,2200,2600,2400
Uttar Pradesh,Maharajganj,Nautnava,Apple,Delicious,Medium,2025-09-23,7400,7600,7500
Uttar Pradesh,Raebarelli,Lalganj,Rice,Coarse,FAQ,2025-09-23,2800,2900,2850
Uttar Pradesh,Sitapur,Hargaon (Laharpur),Banana,Desi(Bontha),Small,2025-09-23,700,740,720
Uttrakhand,Haridwar,Manglaur,Banana,Other,Medium,2025-09-23,1200,1600,1500
Uttrakhand,Haridwar,Roorkee,Banana,Other,Large,2025-09-23,800,1250,1000
West Bengal,Medinipur(E),Tamluk (Medinipur E),Rice,Common,FAQ,2025-09-23,3600,3800,3700
West Bengal,Medinipur(W),Ghatal,Jute,TD-5,FAQ,2025-09-23,7600,7800,7700
Andhra Pradesh,Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,2025-09-23,7509,10000,8500
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,2025-09-23,6200,6400,6300
Gujarat,Bharuch,Jambusar(Kaavi),Maize,Other,FAQ,2025-09-23,1800,2200,2000
Gujarat,Chhota Udaipur,Bodeliu,Cotton,Shanker 6 (B) 30mm FIne,FAQ,2025-09-23,6850,7075,6950
Gujarat,Chhota Udaipur,Hadad    ,Cotton,Shanker 6 (B) 30mm FIne,FAQ,2025-09-23,6850,7075,6950
Gujarat,Sabarkantha,Modasa,Maize,Hybrid Red (Cattle Feed),Non-FAQ,2025-09-23,2000,2130,2130
Haryana,Gurgaon,Gurgaon,Banana,Other,Large,2025-09-23,2000,3000,2500
Haryana,Kurukshetra,Ladwa,Pomegranate,Pomogranate,Medium,2025-09-23,8500,9000,8500
Haryana,Mahendragarh-Narnaul,Narnaul,Apple,Apple,Medium,2025-09-23,6000,9000,8000
Haryana,Sonipat,Gohana,Apple,Apple,Large,2025-09-23,4000,7000,5000
Himachal Pradesh,Kangra,Jwalaji,Apple,American,Medium,2025-09-23,2000,7000,6000
Himachal Pradesh,Kangra,Kangra(Baijnath),Pomegranate,Other,Medium,2025-09-23,9000,15000,12000
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Apple,Kasmir/Shimla - II,Medium,2025-09-23,6000,10000,8000
Himachal Pradesh,Kangra,Palampur,Papaya,Other,Medium,2025-09-23,3800,4000,3900
Kerala,Ernakulam,Perumbavoor,Banana,Palayamthodan,Medium,2025-09-23,2000,3000,2500
Kerala,Ernakulam,POTHANIKKADU VFPCK,Banana,Nendra Bale,Large,2025-09-23,2500,3000,2500
Kerala,Kannur,Irityy,Banana,Nendra Bale,Medium,2025-09-23,5600,5800,5700
Kerala,Kollam,Anchal VFPCK,Banana,Red Banana,Large,2025-09-23,5500,6000,5800
Kerala,Kottayam,Athirampuzha,Banana,Banana - Ripe,Medium,2025-09-23,2800,3000,2900
Kerala,Kottayam,Pampady,Banana,Palayamthodan,Medium,2025-09-23,2000,3000,2500
Kerala,Palakad,Koduvayoor,Banana,Nendra Bale,Medium,2025-09-23,2600,3000,2800
Kerala,Palakad,Koduvayoor,Banana,Palayamthodan,Medium,2025-09-23,2800,3200,3000
Kerala,Pathanamthitta,Kuttoor,Banana,Nendra Bale,Large,2025-09-23,7600,8000,7800
Kerala,Pathanamthitta,Kuttoor,Banana,Palayamthodan,Medium,2025-09-23,3100,3500,3300
Kerala,Wayanad,Pulpally,Banana,Other,Medium,2025-09-23,2800,3000,2900
Madhya Pradesh,Badwani,Anjad,Cotton,Without Ginned Cotton,FAQ,2025-09-23,5040,5040,5040
Madhya Pradesh,Dhar,Kukshi,Cotton,Without Ginned Cotton,FAQ,2025-09-23,5800,5800,5800
Maharashtra,Pune,Pune(Moshi),Papaya,Other,Local,2025-09-23,3000,3000,3000
Maharashtra,Pune,Pune(Moshi),Pomegranate,Other,Local,2025-09-23,12000,12000,12000
Maharashtra,Sangli,"Sangli(Phale, Bhajipura Market)",Pomegranate,Other,Local,2025-09-23,5000,12000,8500
Odisha,Mayurbhanja,Karanjia,Rice,Other,FAQ,2025-09-23,3400,3500,3500
Punjab,Hoshiarpur,Mukerian,Banana,Banana - Ripe,Medium,2025-09-23,2500,3500,3000
Tripura,North Tripura,Dasda,Rice,Masuri,FAQ,2025-09-23,3300,3400,3350
Uttar Pradesh,Aligarh,Charra,Maize,Hybrid,FAQ,2025-09-23,2000,2100,2050
Uttar Pradesh,Badaun,Shahaswan,Apple,Other,Medium,2025-09-23,7000,7500,7200
Uttar Pradesh,Etah,Aliganj,Maize,Hybrid,FAQ,2025-09-23,1850,1860,1855
Uttar Pradesh,Fatehpur,Jahanabad,Rice,Common,FAQ,2025-09-23,2600,2620,2610
Uttar Pradesh,Mau(Maunathbhanjan),Doharighat,Rice,1009 Kar,FAQ,2025-09-23,3900,4000,3965
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj,Banana,Medium,Medium,2025-09-23,1000,1200,1100
Uttar Pradesh,Meerut,Sardhana,Apple,Delicious,Large,2025-09-23,2300,2500,2400
Uttar Pradesh,Shamli,Kairana,Apple,Delicious,Medium,2025-09-23,1700,1800,1750
Uttrakhand,Haridwar,Manglaur,Apple,Other,Medium,2025-09-23,2500,4200,3500
West Bengal,Medinipur(E),Kolaghat,Rice,Fine,FAQ,2025-09-23,3900,4100,4000
